dimension,steps,h,epsilon,rho,h5_error,euler_variance,mean_w2_component,covariance_w2_component,w2,score_l8_to_four,theorem_sqrt_dimension_term,weak_log_concavity_alpha,weak_log_concavity_M,hessian_l2_operator,H3,H6,H7
1,8,0.125,0.0,0.0,0.0,1.0587955275319167,0.0,0.028977904297228685,0.028977904297228685,19.595917942265423,4.538272572495555,1.0,0.0,1.0,True,True,True
1,8,0.125,0.0,0.25,0.0,1.089534972454533,0.0,0.04380791932928574,0.04380791932928574,24.311265488033104,5.031030261092961,0.8,0.0,1.3333333333333333,True,True,True
1,8,0.125,0.0,0.5,0.0,1.1214250401806731,0.0,0.05897357860367469,0.05897357860367469,46.392847469155164,6.884246325427001,0.6666666666666666,0.0,2.0,True,True,True
1,8,0.125,0.0,0.75,0.0,1.1544853006884446,0.0,0.07446977653559173,0.07446977653559173,171.500393118063,13.133940502304059,0.5714285714285714,0.0,4.0,True,True,True
1,8,0.125,0.02,0.0,0.02,1.0587955275319167,0.013127821683883668,0.028977904297228685,0.03181286908820377,19.595917942265423,4.538272572495555,1.0,0.0,1.0,True,True,True
1,8,0.125,0.02,0.25,0.02,1.089534972454533,0.013196533316635884,0.04380791932928574,0.0457524019865437,24.311265488033104,5.031030261092961,0.8,0.0,1.3333333333333333,True,True,True
1,8,0.125,0.02,0.5,0.02,1.1214250401806731,0.013239514068271738,0.05897357860367469,0.060441440304544056,46.392847469155164,6.884246325427001,0.6666666666666666,0.0,2.0,True,True,True
1,8,0.125,0.02,0.75,0.02,1.1544853006884446,0.013264282529161646,0.07446977653559173,0.07564184561652625,171.500393118063,13.133940502304059,0.5714285714285714,0.0,4.0,True,True,True
1,8,0.125,0.04,0.0,0.04,1.0587955275319167,0.026255643367767336,0.028977904297228685,0.0391034237134644,19.595917942265423,4.538272572495555,1.0,0.0,1.0,True,True,True
1,8,0.125,0.04,0.25,0.04,1.089534972454533,0.026393066633271768,0.04380791932928574,0.05114418600652014,24.311265488033104,5.031030261092961,0.8,0.0,1.3333333333333333,True,True,True
1,8,0.125,0.04,0.5,0.04,1.1214250401806731,0.026479028136543476,0.05897357860367469,0.06464535485539281,46.392847469155164,6.884246325427001,0.6666666666666666,0.0,2.0,True,True,True
1,8,0.125,0.04,0.75,0.04,1.1544853006884446,0.02652856505832329,0.07446977653559173,0.07905385747270438,171.500393118063,13.133940502304059,0.5714285714285714,0.0,4.0,True,True,True
